,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact
1349,Dao Heuang Group,Laos,Nongluang Bolaven Plateau,DCN03.11.2022,Dao Heuang Group,,Dao Heuang Group,1200 - 1300,"Nongluang Bolaven Plateau, Champasack, Lao PDR",Dao Heuang Group,26,60 kg,2022,"December 30th, 2022",Catimor,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,10.0,10.0,10.0,83.08,11.80%,0 full defects,0,brownish,7 full defects,"December 30th, 2023'",Specialty Coffee Association of Indonesia',"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl. Harsono RM No. 3, Ragunan, South Jakarta, Jakarta'",Mr. Michael Utama or Mr. Andi Fachri - 081382657727 / 087789140881'
1350,rodrigo amaya,Colombia,EL PRADO,3-59-0654,NEIVA,3-59-0654,carcafe ltda,1650,HUILA,FRANKLIN DUSSAN,600,30 kg,2022 / 2023,"January 13th, 2023",Caturra,Washed / Wet,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,83.0,13.10%,0 full defects,0,Bluish-Green,1 full defects,"January 13th, 2024'",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE',Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC',Carlos Julian Ruiz - 3212026991'
1351,Taiwu,Taiwan,樹橋窩莊園,A17-Northern Taiwan Specialty Coffee Evaluation,樹橋窩莊園,,Taiwu Coffee Cooperative,250-300,新竹縣,王維書,1,12 kg,2021 / 2022,"January 6th, 2023",Typica,Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,82.92,8.90%,0 full defects,0,Blue-Green,0 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1352,Coffee Quality Union,Colombia,La Argentina,CQU2022013,La Argentina,,Coffee Quality Union,1350,Quindio,Augusto Torres,1,12 kg,2021 / 2022,"June 16th, 2022",Typica Gesha,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,82.92,11.50%,0 full defects,1,Greenish,3 full defects,"June 16th, 2023'",Japan Coffee Exchange',"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN'",松澤\u3000宏樹\u3000Koju Matsuzawa - +81(0)9085642901'
1353,Alvin La Vaughn Landry,Mexico,Finca Tequihua,1,"Coatepec, Veracruz",3093,La Villa Coffee Company LLC,1350,"ZONGOLICA, VERACRUZ",Martin Tequihuatle Zepahua,141,69 kg,2021 / 2022,"August 11th, 2022",Bourbon,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,82.92,11.90%,2 full defects,0,Green,1 full defects,"August 11th, 2023'",Centro Agroecológico del Café A.C.',"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.'",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092'
1354,郭亮志 GuoLiangZhi,Taiwan,嵩岳咖啡莊園,202203,yes,non,宸嶧國際有限公司,1200,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",郭亮志,300,1 kg,2022,"October 24th, 2022",Gesha,,7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,82.92,10.20%,0 full defects,0,yellow-green,0 full defects,"October 24th, 2023'",Blossom Valley International宸嶧國際',No.72 Mo-Fan St. Taiwan Zip: 403',Damon Chen陳嘉峻 - +886423022323'
1355,Isreal Degefa,Ethiopia,Gelana Geisha,"Grade 1, Guji, Natural, Gelana Geisha",Dry Mill or Hulling Facility,010/0475/0207,Kerchanshe Trading PLC,1900-2000,Guji,Kerchanshe,40,60 kg,2021 / 2022,"August 26th, 2022",Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,86.17,11.60%,0 full defects,3,Yellow- Green,2 full defects,"August 26th, 2023'",METAD Agricultural Development plc',"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia'","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196'"
1356,Eliud Hernandez Gonzales,Honduras,Varias,273,Beneficio Seco Comsa,13-167-181,Cafe Organico Marcala S.A de C.V.,1280,Marcala,Varios,275,69 kg,2022 / 2023,"April 24th, 2023",Catuai,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,82.83,10%,0 full defects,0,Green,4 full defects,"April 23rd, 2024'",Instituto Hondureño del Café',"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes'",Ramon Reyes - + 504 9693-9042'
1357,Doi Tung Development Project,Thailand,Doi Tung Development Project,GAYO 21/22 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,1300-1500,North of Thailand,Doi Tung Development Project,2,1 kg,2022,"July 14th, 2022",Gayo,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,82.83,11.80%,0 full defects,0,Yellow-Green,5 full defects,"July 14th, 2023'",FABB Academy of Coffee',"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND'",Janejira Kamonsawedkun - +(66) 095 095 9593'
1358,Simexco DakLak,Vietnam,Ea tan Cooperative,VHA- S3,SIMEXCO DAKLAK LTD,,SIMEXCO DAKLAK LTD,900,"Eatan Commune, Krong Nang District, Krong Nang Province",Ea Tan Cooperative,22,60 kg,2021 / 2022,"June 3rd, 2022",Catimor,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,82.83,13.30%,0 full defects,0,Green,4 full defects,"June 3rd, 2023'",Specialty Coffee Association',*CURRENTLY NOT ACCEPTING SAMPLES**',Brit Amell (CQI) - bamell@coffeeinstitute.org -'
1359,Taiwan Coffee Laboratory 台灣咖啡研究室,Costa Rica,AMA EL AROMA Micro lot - Sunrise,"The 2022 Pacific Rim Coffee Summit,CR01",Micro mill,,Taiwan Coffee Laboratory,1450,west Villege,various producers,10,30 kg,2021,"November 15th, 2022",SL28,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,82.75,11.80%,0 full defects,0,pale yellow,1 full defects,"November 15th, 2023'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1360,"Exportadora Atlantic, S.A.",Nicaragua,Finca San Felipe,017-053-0017,Beneficio Atlantic Sébaco,017-053-0017,Exportadora Atlantic S.A,1200,Matagalpa,Exportadora Atlantic S.A.,275,69 kg,2022 / 2023,"January 30th, 2023",SHG,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,82.75,10.50%,5 full defects,2,Green,1 full defects,"January 30th, 2024'",Asociación de Cafés Especiales de Nicaragua',"Del Hotel Seminole 2 C al lago, 1 C arriba.'",Maria Ines Benavidez Toval - 011-(505)-8396 4717'
1361,CADEXSA,Honduras,Bethel,197,CADEXSA,13-63-118,CADEXSA,1450,los planes de santa maria la paz,Omar Acosta,325,69 kg,2022 / 2023,"April 25th, 2023",Catuai,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,82.67,9.60%,0 full defects,0,Green,2 full defects,"April 24th, 2024'",Instituto Hondureño del Café',"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes'",Ramon Reyes - + 504 9693-9042'
1362,Sajcha tawaytibhong,Thailand,Kevin Coffee,21/22,Dry mill,,Square Root,1200,Chiang Mai,Kevin Wattana,6,50 kg,2021 / 2022,"June 14th, 2022","Bourbon, Catimor, Caturra, Typica",Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,82.67,11.20%,0 full defects,0,Yellow Green,0 full defects,"June 14th, 2023'",Specialty Coffee Institute of Thailand',"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand'","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492'"
1363,Doi Tung Development Project,Thailand,Doi Tung Development Project,CATURRA 21/22 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,1200 - 1580,North of Thailand,Doi Tung Development Project,2,1 kg,2022,"July 14th, 2022",Caturra,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,82.67,13%,1 full defects,0,Greenish,0 full defects,"July 14th, 2023'",FABB Academy of Coffee',"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND'",Janejira Kamonsawedkun - +(66) 095 095 9593'
1364,Yukinobu Ueda,Colombia,Federación Nacional de Cafeteros de Colombia,3/01/12857,Federación Nacional de Cafeteros de Colombia,3/01/12857,"NIPPON COFFEE TRADING CO.,LTD.",1700,Huila,Federación Nacional de Cafeteros de Colombia,250,70 kg,2022,"July 11th, 2022",Caturra,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,82.67,11.80%,0 full defects,1,Green,2 full defects,"July 11th, 2023'",Japan Coffee Exchange',"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN'",松澤\u3000宏樹\u3000Koju Matsuzawa - +81(0)9085642901'
1365,Taiwu,Taiwan,掬香園,A22-Northern Taiwan Specialty Coffee Evaluation,掬香園,,Taiwu Coffee Cooperative,465,苗栗縣,謝櫞楨,1,32 kg,2021 / 2022,"January 6th, 2023",Caturra,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,82.58,8.40%,0 full defects,0,Blue-Green,2 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1366,PeiHsun Lin,Colombia,La Gaitania,"The 2022 Pacific Rim Coffee Summit,CO03",La Gaitania,,Taiwan Coffee Laboratory,1850,tolima,Josue Enciso Suarez,70,35 kg,2021 / 2022,"November 15th, 2022",Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,86.17,10.60%,0 full defects,0,Green,0 full defects,"November 15th, 2023'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1367,rene j alcebo,Nicaragua,Finca Las Dos Marias,4 -3.1,"Compare Coperativo Condega, Esteli, Nicaragua",,NicaNoLA Coffee,1350,ESTELI,NicaNoLA Coffee,120,45 kg,2021 / 2022,"June 20th, 2022",Parainema,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,82.58,10.10%,0 full defects,0,Green,0 full defects,"June 20th, 2023'",Specialty Coffee Association',*CURRENTLY NOT ACCEPTING SAMPLES**',Brit Amell (CQI) - bamell@coffeeinstitute.org -'
1368,Taiwu,Taiwan,銅鏡莊園,A01-Northern Taiwan Specialty Coffee Evaluation,銅鏡莊園,,Taiwu Coffee Cooperative,165,苗栗縣,吳聲發,1,4 kg,2021 / 2022,"January 6th, 2023",unknow,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,82.58,9.80%,0 full defects,0,Green,0 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1369,Full Sweet Coffee,Mexico,Las Trincheras,"The 2022 Pacific Rim Coffee Summit,MX01",Las Trincheras,,Taiwan Coffee Laboratory,1340,Veracruz,Jose Cienfuegos,10,15 kg,2021,"November 15th, 2022",Pacamara,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,82.5,10.70%,0 full defects,0,pale yellow,0 full defects,"November 15th, 2023'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1370,Taiwu,Taiwan,弘欣咖啡園,A02-Northern Taiwan Specialty Coffee Evaluation,弘欣咖啡園,,Taiwu Coffee Cooperative,139,新竹縣,胡明杰,1,200 kg,2021 / 2022,"January 6th, 2023",unknown,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,82.5,8.40%,0 full defects,0,Green,2 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1371,Consejo Salvadoreño del Café,El Salvador,Agua Caliente,Jan-26,Agua Caliente,9-392-35,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",600,30 kg,2022 / 2023,"March 3rd, 2023",Bourbon,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,82.5,11.30%,0 full defects,0,Green,2 full defects,"March 2nd, 2024'",Salvadoran Coffee Council',"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG'",Tomas Bonilla - (503) 2505-6600'
1372,Taiwan Coffee Laboratory 台灣咖啡研究室,United States (Hawaii),Kainaliu Farm,"The 2022 Pacific Rim Coffee Summit,US03",Aloha Hills Kona Coffee,,Taiwan Coffee Laboratory,640,Kona,Kainaliu-Kona Coffee Company,4,15 kg,2022,"November 15th, 2022",Maragogype,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,82.5,11.70%,0 full defects,0,Blue-Green,1 full defects,"November 15th, 2023'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1373,MR.BROWN CAFE,Nicaragua,Finca Aurora,1,Beneficio Seco Finca Aurora,,Mr.Brown Cafe,1200-1350,"Matagalpa, Nicaragua",Sabio Coffee - Enrique Ferrufino & Tania Ferrufino,275,69 kg,2021 / 2022,"December 30th, 2022",Caturra-Catuai,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,82.42,11.40%,0 full defects,0,Bluish-Green,0 full defects,"December 30th, 2023'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1374,Consejo Salvadoreño del Café,El Salvador,Agua Caliente,Jan-74,Agua Caliente,09-392-144,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",275,69 kg,2021 / 2022,"July 7th, 2022",Bourbon,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,82.33,11.80%,0 full defects,0,Bluish-Green,0 full defects,"July 7th, 2023'",Salvadoran Coffee Council',"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG'",Tomas Bonilla - (503) 2505-6600'
1375,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan,青葉咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T014",青葉咖啡莊園,,Taiwan Coffee Laboratory,1100,Chiayi,葉世遠,1,60 kg,2021 / 2022,"November 15th, 2022",SL34,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,86.08,10.20%,0 full defects,0,Green,0 full defects,"November 15th, 2023'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1376,Consejo Salvadoreño del Café,El Salvador,Agua Caliente,Jan-26,Agua Caliente,9-392-35,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",600,30 kg,2022 / 2023,"February 21st, 2023",Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,82.33,12%,0 full defects,7,Green,10 full defects,"February 21st, 2024'",Salvadoran Coffee Council',"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG'",Tomas Bonilla - (503) 2505-6600'
1377,Taiwu,Taiwan,寶山謐靚,A48-Northern Taiwan Specialty Coffee Evaluation,寶山謐靚,,Taiwu Coffee Cooperative,140,新竹縣,宋煦仁,1,5 kg,2021 / 2022,"January 6th, 2023",unknown,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,82.33,10.80%,0 full defects,0,Green,1 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1378,"Sunvirtue Co., Ltd.",Vietnam,Apollo Estate,Apollo Washed 2021,Dry Mill,,"Sunvirtue Co., Ltd.",1040,Dalat,"Yeh,Li Chuan",77,15 kg,2021,"June 1st, 2022",Catimor,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,82.33,10.50%,0 full defects,0,Bluish-Green,0 full defects,"June 1st, 2023'",Specialty Coffee Association',*CURRENTLY NOT ACCEPTING SAMPLES**',Brit Amell (CQI) - bamell@coffeeinstitute.org -'
1379,Kiichiro Iwata,Peru,Fundo La Libertado,PR138,Planta Callao,,Itochu Corporation,1600,"Chanchamayo, La Merced",Sand Crispin Espiritu,275,69 kg,2022 / 2023,"July 11th, 2022",Caturra,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,82.25,11.70%,0 full defects,1,greenish,3 full defects,"July 11th, 2023'",Japan Coffee Exchange',"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN'",松澤\u3000宏樹\u3000Koju Matsuzawa - +81(0)9085642901'
1380,Coffee Quality Union,Kenya,Kenyan Highlands,CQU2023004,TAYLOR WINCH,,Coffee Quality Union,1500-1950,Kericho,Slelected small holder,13,5 kg,2022,"April 7th, 2023","SL28,SL34,Ruiru11",Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,82.17,11.20%,0 full defects,0,Green,2 full defects,"April 6th, 2024'",Japan Coffee Exchange',"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN'",松澤\u3000宏樹\u3000Koju Matsuzawa - +81(0)9085642901'
1381,Taiwan Coffee Laboratory 台灣咖啡研究室,United States (Hawaii),Manny's Farm,Islander’s Coffee for Pacific Rim Summit,Manny's Farm,,Taiwan Coffee Laboratory,1200,Kona district of Big Island,Manny Ochoa,3,30 kg,2022,"November 9th, 2022",Typica,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,82.17,10.60%,1 full defects,0,Green,5 full defects,"November 9th, 2023'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1382,Taiwu,Taiwan,金暖農場,A43-Northern Taiwan Specialty Coffee Evaluation,金暖農場,,Taiwu Coffee Cooperative,600,桃園市,何育達,1,3 kg,2021 / 2022,"January 6th, 2023",unknown,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,82.08,9.70%,0 full defects,0,Bluish-Green,0 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1383,Taiwu,Taiwan,好客農埸,A34-Northern Taiwan Specialty Coffee Evaluation,好客農埸,,Taiwu Coffee Cooperative,460,苗栗縣,彭聰明,1,60 kg,2021 / 2022,"January 6th, 2023",unknown,Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,82.08,8.10%,0 full defects,0,Greenish,3 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1384,Ikuto Uehara,Guatemala,Not Specificated,SA4238,Dry Mill of Exportcafe,#327,Marubeni Corporation,1350-1550,Oriente,"Exportcafe, S.A.",275,69 kg,2021 / 2022,"November 28th, 2022",,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,82.0,11.50%,0 full defects,1,Blue-Green,2 full defects,"November 28th, 2023'",Japan Coffee Exchange',"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN'",松澤\u3000宏樹\u3000Koju Matsuzawa - +81(0)9085642901'
1385,Doi Tung Development Project,Thailand,Doi Tung Development Project,MIXED DT 21/22 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,800-1200,North of Thailand,Doi Tung Development Project,2,1 kg,2022,"July 14th, 2022",Catimor,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,82.0,9.80%,0 full defects,0,Green,0 full defects,"July 14th, 2023'",FABB Academy of Coffee',"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND'",Janejira Kamonsawedkun - +(66) 095 095 9593'
1386,Dongbi,Taiwan,東璧咖啡莊園,202203,yes,non,Dongbi coffee,1300,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",陳景立,5,2 kg,2022,"October 24th, 2022",Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,86.08,10.30%,0 full defects,0,yellow-green,0 full defects,"October 24th, 2023'",Blossom Valley International宸嶧國際',No.72 Mo-Fan St. Taiwan Zip: 403',Damon Chen陳嘉峻 - +886423022323'
1387,Taiwu,Taiwan,拉拉山祖嵐咖啡莊園,A50-Northern Taiwan Specialty Coffee Evaluation,拉拉山祖嵐咖啡莊園,,Taiwu Coffee Cooperative,500,桃園市,宗素霞,1,20 kg,2021 / 2022,"January 6th, 2023",unknown,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,82.0,8.20%,0 full defects,0,Green,1 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1388,Volcafe Japan,Costa Rica,San Diego Mill,S019194 - P04178,Dosmil,5-0015-0228,Beneficios Volcafé Costa Rica,1500,Corralillo Tarrazu,San Diego Mill,500,30 kg,2018 / 2019,"March 29th, 2023",Caturra,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,82.0,10.50%,1 full defects,2,Green,8 full defects,"March 28th, 2024'",Specialty Coffee Association of Costa Rica',"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21'",Noelia Villalobos - (506) 2220 0685'
1389,Charles Umeano,Indonesia,Wahana Graha Makmur,015/1686/057,PT. Wahana Graha Makmur Medan,,InterAmerican Coffee,1350,Sumatra,PT. Wahana Graha Makmur Group,320,60 kg,2022,"August 22nd, 2022",,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,82.0,12.50%,0 full defects,0,Bluish-Green,0 full defects,"August 22nd, 2023'",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)',"Bahnhofstrasse 22 6300 Zug, Switzerland'",Tirza Odermatt - +41 41 728 72 81'
1390,Kiichiro Iwata,Peru,Fundo La Libertad,301R,Planta Callao,301R,Itochu Corporation,1600,"Chanchamayo, La Merced",Sandro Crispin Espiritu,275,69 kg,2022 / 2023,"July 11th, 2022",Caturra,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,81.92,11.60%,0 full defects,2,greenish,2 full defects,"July 11th, 2023'",Japan Coffee Exchange',"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN'",松澤\u3000宏樹\u3000Koju Matsuzawa - +81(0)9085642901'
1391,Anderson Wong,Guatemala,MULTIPLE SMALLHOLDER FARMS,GF-23392,MULTIPLE SMALLHOLDER FARMS,11/15/179,"HARU International Corp, 守成咖啡",1200~1600,Antigua,La Minita,540,30 kg,2022,"November 3rd, 2022",Caturra,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,81.92,10.30%,0 full defects,0,Greenish,1 full defects,"November 3rd, 2023'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1392,Taiwu,Taiwan,阿拉思家,A10-Northern Taiwan Specialty Coffee Evaluation,阿拉思家,,Taiwu Coffee Cooperative,300,桃園市,李秀圓,1,6 kg,2021 / 2022,"January 6th, 2023",Typica,Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,81.83,11.30%,0 full defects,0,Green,0 full defects,"January 6th, 2024'",Taiwan Coffee Laboratory 台灣咖啡研究室',"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan'","Lin, Jen-An Neil 林仁安 - 886-289116612'"
1393,Rodney Murray,Vietnam,Gaia Farms,221221,Hulling Facility,,Brew Baby Coffee Company,5400,Lam Dong Province,Viet Coffee Company Limited,1,1 kg,2022 / 2023,"April 10th, 2023",Catimor,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,81.83,11.20%,0 full defects,0,Green,4 full defects,"April 9th, 2024'",Firedancer Coffee Consultants',"165 Commerce Drive, Ste 103'",Firedancer Coffee Consultants -'
